#ID	Length	Dir	Exons	Position	GroupID	NIsoformInGroup	Explv
uc001aaa.3	1652	+	3	chr1:11874-14409	1	24	64.9015144893
uc010nxq.1	1488	+	3	chr1:11874-14409	1	24	8.49898723186
uc010nxr.1	1595	+	3	chr1:11874-14409	1	24	86.8682743431
uc009vis.2	842	-	4	chr1:14363-16765	1	24	34.2903456084
uc001aae.3	2411	-	10	chr1:14363-19759	1	24	1.71791121387
uc009vit.2	2648	-	9	chr1:14363-19759	1	24	5.00355218449
uc009viu.2	2705	-	10	chr1:14363-19759	1	24	0.0118238149324
uc001aab.3	1745	-	10	chr1:14363-24901	1	24	9431.99117563
uc001aac.3	1745	-	11	chr1:14363-29370	1	24	669764.211167
uc001aah.3	1768	-	11	chr1:14363-29370	1	24	0.0181635267368
uc009viq.2	1636	-	7	chr1:14363-29370	1	24	287.601740331
uc009vir.2	2005	-	10	chr1:14363-29370	1	24	0.804357669296
uc009viv.2	3181	-	7	chr1:14407-29370	1	24	22748.7555143
uc009viw.2	3517	-	7	chr1:14407-29370	1	24	74.9190940576
uc009vix.2	1189	-	7	chr1:15603-29370	1	24	103975.8082
uc009vjd.2	1101	-	5	chr1:15796-18061	1	24	0.441054770338
uc009viy.2	1134	-	9	chr1:16607-29370	1	24	25.369828619
uc009viz.2	1097	-	8	chr1:16607-29370	1	24	7039.61611291
uc009vjc.1	717	-	2	chr1:16858-17751	1	24	13.0977770278
uc001aai.1	1577	-	6	chr1:16858-19759	1	24	2.66096593879
uc010nxs.1	1148	-	8	chr1:16858-29370	1	24	313.222630939
uc009vjb.1	1022	-	7	chr1:16858-29961	1	24	68.11469034
uc009vje.2	806	-	4	chr1:17233-29370	1	24	3.49828292264
uc009vjf.2	868	-	7	chr1:17606-29370	1	24	0.0126409496041
uc001aak.2	1129	-	3	chr1:34612-36081	2	1	1.7504485873
uc001aal.1	918	+	1	chr1:69091-70008	3	1	454.582505431
uc001aam.3	1390	-	1	chr1:137839-139228	4	1	3003.55832101
